url,parenturl,depth
http://www.chcedo.com/product/productdetail.htm?pid=11717GHJd0000027,http://www.chcedo.com/product/productdetail.htm?pid=11717GHJc0000025,8
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQR0000053,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQR0000055,94
http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSE0000010,http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSG0000012,97
http://www.chcedo.com/article/articleDetail.htm?aid=11717GDJu0000164,http://www.chcedo.com/article/articleDetail.htm?aid=11717GDJv0000166,112
http://www.chcedo.com/person/productDetail.htm,http://www.chcedo.com/person/modifyPersonalCenter.htm,20
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSs0000119,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSs0000120,32
http://www.chcedo.com/article/articleDetail.htm?aid=11717GDJv0000166,http://www.chcedo.com/article/articleDetail.htm?aid=11717GDJw0000167,111
http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSJ0000017,http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSz0000005,122
http://www.chcedo.com/makeup/productList_102002.htm,http://www.chcedo.com/makeup/makeupIndex.htm,8
http://www.chcedo.com/product/productdetail.htm?pid=15218FRO60004327&categorytType=1,http://www.chcedo.com/makeup/productList_102004.htm,9
http://www.chcedo.com/product/productdetail.htm?pid=15218DOQS0891632,http://www.chcedo.com/mask/productList_101001005.htm,6
http://www.chcedo.com/product/productdetail.htm?pid=15217JGNe0005973,http://www.chcedo.com/beauty/beautyVideoDetail.htm?vid=15218CEKy1641493,16
http://www.chcedo.com/product/productdetail.htm?pid=15217JGNH0006004,http://www.chcedo.com/product/productdetail.htm?pid=11717GHNC0000121,18
http://www.chcedo.com/product/productdetail.htm?pid=11717GFO50000025,http://www.chcedo.com/skin/productList_100001008.htm,8
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQq0000066,http://www.chcedo.com/skin/productList_100001005.htm,8
"http://www.chcedo.com/product/productdetail.htm?pid=	11717GHOv0000152",http://www.chcedo.com/bestseller/bestsellerMakeup.htm,7
http://www.chcedo.com/mask/maskIndex.htm,http://www.chcedo.com/index.htm,4
